label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13
3	0 kg	1.3825	MOTOR SPORTS	FERRET, CHICKEN	1128	3.0835	-0.1318	-0.3541	-258 mph	-0.085	1056	1.6159	191	-515
3	915 kg	1.2597	motor sports	ferret	768	0.837	0.9534	-1.7936	120 mph	0.5989	388	0.0357	-71	-1291
2	534 kg	0.8066	tennis	reptile, dog, rat	1070	0.9961	0.6502	0.6743	1171 mph	-0.3756	1044	-0.5125	631	1545
2	2235 kg	0.3627	boxing	pig, rat, reptile	929	1.8069	0.7466	0.9483	-1991 mph	2.0443	None	0.6681	824	-277
0	687 kg	-0.8509	volleyball	bird, fish	307	1.4183	0.1283	1.2639	566 mph	0.763	-346	2.3527	990	618
3	777 kg	0.2129	track & field	chicken	-87	0.5074	0.9982	1.8025	-269 mph	-0.1668	815	1.4341	2057	-129
3	666 kg	0.1421	motor sports	ferret, cat	692	0.1542	0.636	-0.9405	1583 mph	-0.0535	2448	0.6256	-218	1119
0	1171 kg	0.5871	volleyball	guinea pig, fish	318	0.3938	-0.1231	1.907	1245 mph	2.2101	1271	1.3288	854	2220
3	739 kg	-0.8909	motor sports	cat	-446	0.0397	0.3037	0.8302	-129 mph	-0.3514	-1330	-0.1593	19	458
0	-133 kg	2.5746	volleyball	bird	459	0.4876	0.4566	0.8614	-500 mph	0.5656	-1123	1.4654	823	1558
0	-63 kg	0.2843	football	bird	1601	0.7187	-0.414	0.2751	2103 mph	1.5745	2533	0.999	1059	455
0	None	0.5919	badminton	fish, bird	784	1.1553	1.8305	-0.3855	1110 mph	0.3797	332	0.3101	-72	None
2	1680 kg	0.075	ice hockey	rat, reptile, dog	270	0.5998	0.4462	1.0022	-20 mph	-0.0525	-838	1.9411	-472	-2000
0	620 kg	1.2323	badminton	fish	-298	1.3017	1.5778	-0.1165	584 mph	0.9005	536	-0.4168	435	-127
2	907 kg	0.2268	tennis	pig	544	0.9518	0.248	0.5605	375 mph	2.0087	-127	1.2177	547	377
2	1336 kg	0.8316	tennis	pig, reptile	10	0.7467	0.0453	-0.638	113 mph	0.4915	463	-0.5702	299	911
0	1007 kg	1.3086	football	bird, fish	616	0.27	0.3624	-0.1075	-388 mph	1.5278	-439	0.7026	154	-477
3	60 kg	1.5308	Track & Field	chicken, ferret	1596	1.2403	1.751	0.3461	2011 mph		1194	0.91	212	-253
1	593 kg	1.9926	basketball	hamster	-260	0.035	0.8848	1.7316	984 mph	-0.4727	-690	0.6322	91	1008
1	-1044 kg	-1.16	golf	rabbit	-269	-0.0929	0.8662	1.793	1062 mph	0.7049	791	-0.2334	1219	2203
1	-465 kg	0.8805	running	hamster	-429	-0.2982	1.0458	1.7499	-1668 mph	-0.5873	1894	-0.2444	1465	-1294
1	-783 kg	1.3015	soccer	rabbit	-526	0.5702	0.0413	-0.7008	-1663 mph	1.2553	264	0.0639	253	775
0	1462 kg	0.7668	badminton	bird	445	0.0954	0.1949	0.6088	1764 mph	0.6789	1471	1.1007	-932	-792
2	N/A	0.6326	tennis	reptile, rat, dog	-615	1.0045	-0.1663	0.352	-12 mph	1.1073	1495	0.0857	-337	3009
3	-378 kg	-0.0109	track & field	ferret	-42	-0.0572	0.2557	-0.4078	1174 mph	0.1919	232	-0.1215	1371	225
1	-68 kg	-0.4359	running	hamster	414	0.9889	1.1146	1.6697	-294 mph	-0.0087	2849	1.462	333	-1400
3	560 kg	-0.3567	football	cat, ferret	154	1.0548	0.3309	-0.3057	527 mph	0.1853	-126	0.8925	-1320	1144
3	906 kg	0.142	tennis	Cat	168	1.2781	0.6954	2.1454	-128 mph	1.0683	393	0.4669	-2025	1162
3	1902 kg	1.9545	motor sports	ferret	9	0.7451	1.0908	-0.5442	982 mph	-0.0017	1636	0.5752	-963	217
1	405 kg	-0.4011	soccer	rabbit	220	0.691	1.1017	-0.3818	752 mph	0.356	2096	1.7464	530	105
0	-370 kg	-0.4299	badminton	guinea pig	826	0.5052	-0.7693	-0.0127	-153 mph	0.9912	-1249	0.8534	532	1765
1	-534 kg	-0.0288	running	hamster	632	1.1049	1.5413	0.7352	-1108 mph	1.1388	299	0.7621	568	-450
2	-91 kg	-0.6972	tennis	pig	314	0.8015	1.273	1.6164	579 mph	0.5592	-535	0.4108	997	1024
3	1152 kg	0.5355	track & field	cat	845	2.2873	-0.1491	1.3612	1805 mph	-0.1112	-1356	0.8468	75	-586
2	1773 kg	0.4176	ice hockey	reptile, dog, pig	2214	1.1562	0.3321	0.8666	228 mph	-0.7569	111	-1.5638	2028	2001
2	1010 kg	1.4652	ice hockey	pig	579	1.9564	1.4481	0.0651	610 mph	1.6203	-39	-1.1342	1993	908
2	1991 kg	-0.4033	boxing	rat	403	1.7009	1.5823	0.8872	-13 mph	-1.2654	366	0.386	1016	-538
2	550 kg	0.8116	baseball	dog, reptile	-592	0.3132	0.4611	-1.0106	-186 mph	0.5359	-777	-0.0912	1219	-2286
3	1720 kg	-0.7843	track & field	cat, ferret	17	1.4051	-0.4099	1.2521	938 mph	1.2293	516	1.6816	-599	1862
1	-436 kg	0.0953	basketball	rabbit	340	0.0527	None	-0.2448	1060 mph	0.4466	292	1.7907	528	-17
0	399 kg	-0.3073	football	bird	641	-0.7425	0.129	-0.5995	1995 mph	-0.0529	417	0.9055	393	2071
0	982 kg	0.4374	volleyball	fish	284	0.9689	-0.547	0.6292	12 mph	0.7697	-630	?	-464	774
0	-71 kg	-1.0352	football	bird, guinea pig	68	0.7561	1.912	1.2538	-281 mph	-0.7723	153	1.4508	-157	540
0	264 kg	-0.3939	badminton	fish, guinea pig	1630	0.8595	0.0305	1.3596	1874 mph	0.6065	1029	2.6528	506	-605
2	615 kg	-0.8557	baseball	dog, rat, pig	-1287	1.0384	0.2786	1.7834	135 mph	1.5263	1899	0.028	-525	318
0	554 kg	0.7886	volleyball		62	0.9679	0.5718	0.4735	1466 mph	-0.1355	2077	0.5512	-263	-161
1	423 kg	-0.009	running	hamster	-4	0.625	1.1272	0.0519	-738 mph	0.4804	148	-1.3973	2084	-836
1	-572 kg	0.9678	basketball	Hamster	976	1.5843	0.9705	1.0845	426 mph	0.2691	329	-0.6212	1574	258
2	744 kg	-0.2771	boxing	reptile, dog	644	1.0314	1.9905	0.075	-983 mph	-0.4692	1177	-0.2128	915	422
1	647 kg	-0.2677	basketball	RABBIT	570	1.3498	1.0041	-0.0747	-359 mph	1.7404	-254	0.7413	1991	-1804
3	329 kg	0.4736	track & field	chicken	NULL	1.6699	0.0646	2.9124	-425 mph	1.6998	-1097	0.931	1395	400
3	1581 kg	-1.0383	track & field	chicken	304	-0.2586	0.2544	1.8325	726 mph	0.2146	888	1.2049	-144	612
2	1448 kg	-1.068	ice hockey	pig, rat	2125	1.9673	0.712	3.2393	543 mph	2.2009	2127	0.8645	614	2436
3	251 kg	0.4671	motor sports	hamster	402	0.4111	2.1803	1.4024	944 mph	0.0411	-590	2.7415	2556	142
1	-609 kg	0.4621	track & field	hamster	-138	-0.6189	1.4966	-0.4421	337 mph	0.0297	-10	0.8302	22	1291
2	1727 kg	-1.0769	tennis	dog, reptile	1038	1.2162	1.0644	0.4643	299 mph	1.719	1137	-0.4217	1971	104
2	755 kg	-0.7602	ice hockey	reptile, pig	-121	1.6722	0.5678	2.7185	-503 mph	0.97	711	0.8209	70	525
1	379 kg	0.9804	running	rabbit	-928	1.0874	1.2631	0.634	1124 mph	-1.5386	741	1.2691	1266	1088
1	162 kg	-1.0321	running	rabbit	174	0.084	-0.3867	-0.9722	-358 mph	-0.4134	311	0.3093	-519	-389
3	-666 kg	-0.8361	track & field	ferret	725	1.1314	0.442	1.32	-119 mph	1.0697	130	0.4628	660	-200
3	316 kg	0.5915	motor sports	cat, chicken	1700	1.5408	1.0044	-0.8527	693 mph	0.2022	321	0.6689	-125	573
2	660 kg	-0.0692	ice hockey	dog, pig	-549	0.8659	1.2877	1.2233	-1945 mph	1.0552	900	1.8149	760	217
1	1229 kg	-0.2736	basketball	hamster	161	0.6164	1.1486	0.6055	1111 mph	-0.3118	1729	1.3984	763	2516
2	955 kg	1.7122	tennis	dog	-556	1.2652	1.4983	0.1749	496 mph	1.4017	1053	0.7681	913	-169
